cwe_id,name,description,fix_pattern
CWE-20,Improper Input Validation,The product receives input or data but does not validate or incorrectly validates that the input has the properties that are required to process the data safely.,Validate all inputs against an allow-list; reject or normalize anything outside the expected shape.
CWE-22,Path Traversal,The product uses external input to construct a pathname that is intended to identify a file or directory but does not properly neutralize special elements within the pathname.,Resolve paths to absolute form and verify the result is inside the expected base directory before any file operation.
CWE-78,OS Command Injection,The product constructs all or part of an OS command using externally-influenced input but does not neutralize or incorrectly neutralizes special elements.,Never pass shell=True with user input in Python subprocess. Pass the command as a list of arguments. Validate or allow-list all user-controlled command components.
CWE-79,Cross-Site Scripting,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page served to other users.,Use context-aware output encoding. For HTML contexts use framework auto-escaping; for JSON-in-HTML use safe serializers.
CWE-89,SQL Injection,The product constructs all or part of a SQL command using externally-influenced input but does not neutralize special elements.,Always use parameterized queries with placeholders. Never build SQL by string concatenation, f-strings, or format strings with user input.
CWE-94,Code Injection,The product constructs all or part of a code segment using externally-influenced input but does not neutralize special elements.,Avoid eval, exec, and compile on any input derived from user data. If dynamic behavior is truly needed, use an allow-list of pre-defined operations.
CWE-117,Improper Output Neutralization for Logs,The product does not neutralize or incorrectly neutralizes output that is written to logs.,Strip or encode newlines and control characters in any user input before logging. Use structured logging where possible.
CWE-200,Information Exposure,The product exposes sensitive information to an actor that is not explicitly authorized to have access.,Avoid exposing internal errors in responses. Return generic error messages to clients and log details server-side only.
CWE-209,Information Exposure Through Error Message,The product generates an error message that includes sensitive information about its environment users or data.,Return generic error messages to end users. Log full details to internal systems only.
CWE-250,Execution With Unnecessary Privileges,The product performs an operation at a privilege level that is higher than the minimum level required.,Follow least privilege. Drop capabilities early. Avoid running services as root.
CWE-259,Use of Hard-coded Password,The product contains a hard-coded password that it uses for authentication.,Load credentials from secure environment variables or a secrets manager. Never commit credentials to source control.
CWE-287,Improper Authentication,The product does not prove or insufficiently proves that the claim is correct.,Use well-reviewed auth frameworks. Enforce MFA for sensitive operations. Do not implement authentication from scratch.
CWE-295,Improper Certificate Validation,The product does not validate or incorrectly validates a certificate.,Never disable certificate verification in production (e.g., verify=False in requests). Use the system CA store or a pinned CA bundle.
CWE-311,Missing Encryption of Sensitive Data,The product does not encrypt sensitive or critical information before storage or transmission.,Use TLS for transport. Use authenticated encryption (AES-GCM or similar) for storage of sensitive data.
CWE-327,Use of Broken or Risky Cryptographic Algorithm,The use of a broken or risky cryptographic algorithm is an unnecessary risk.,Avoid MD5 and SHA-1 for any security context. Use SHA-256 or stronger. Avoid DES and RC4. Use AES-GCM for encryption.
CWE-352,Cross-Site Request Forgery,The web application does not or cannot sufficiently verify whether a request was intentionally provided by the user who submitted it.,Use CSRF tokens or SameSite cookies. Frameworks typically provide built-in protection; do not disable it.
CWE-434,Unrestricted Upload of File with Dangerous Type,The product allows the upload or transfer of dangerous file types.,Validate file type by content not extension. Store uploads outside the web root. Use allow-lists for permitted types.
CWE-502,Deserialization of Untrusted Data,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,Never use pickle.loads on untrusted data. Use JSON with explicit schemas or signed tokens (itsdangerous). For Java avoid ObjectInputStream on untrusted streams.
CWE-521,Weak Password Requirements,The product does not require that users should have strong passwords,Enforce minimum length of 12 characters and check against published breach lists (have I been pwned API or equivalent).
CWE-532,Insertion of Sensitive Information into Log File,Information written to log files can be of a sensitive nature.,Never log passwords, tokens, or PII. Use a logging filter or redaction pass before writing.
CWE-611,XML External Entities,The product processes an XML document with external entity references.,Disable external entity processing on XML parsers. In Python lxml use resolve_entities=False.
CWE-614,Sensitive Cookie Without Secure Flag,The Secure attribute for sensitive cookies is not set.,Set Secure and HttpOnly flags on session cookies. Use SameSite=Strict or Lax for CSRF mitigation.
CWE-639,Authorization Bypass Through User-Controlled Key,The system's authorization functionality does not prevent one user from gaining access to another user's data or record.,Enforce record ownership at the query level. Never trust user-supplied object identifiers without ownership check.
CWE-776,Improper Restriction of Recursive Entity References in DTDs (Billion Laughs),The product does not restrict the expansion of entity references during XML processing.,Disable DTD processing or cap entity expansion depth. Use safe XML parsers with default limits.
CWE-798,Use of Hard-coded Credentials,The product contains hard-coded credentials such as a password or cryptographic key.,Load credentials from a secrets manager. Never commit credentials to source control. Rotate any committed credential immediately.
CWE-862,Missing Authorization,The product does not perform an authorization check when an actor attempts to access a resource.,Require explicit authorization checks on every protected endpoint. Deny by default.
CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,The product receives input from an upstream component that specifies the attributes that are to be initialized or updated in an object but it does not properly control modifications of attributes.,Use an allow-list of updatable fields. Never use mass-assignment or spread operators on user input to update database records.
CWE-918,Server-Side Request Forgery,The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL but does not sufficiently ensure that the request is being sent to the expected destination.,Validate URL against an allow-list of allowed hosts. Disable redirects. Block access to internal IP ranges.
CWE-1333,Inefficient Regular Expression Complexity,The product uses a regular expression with an inefficient structure that may lead to catastrophic backtracking.,Avoid nested quantifiers on overlapping character classes. Use regex libraries with linear-time guarantees (RE2) where possible.
